,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
0,263624,Almora_Pandetoli_DPP (Uttarakhand),Almora_Pandetoli_DPP (Uttarakhand),Almora_Pandetoli_DPP (Uttarakhand),Almora,Uttarakhand,FALSE
1,629707,Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil,Tamil Nadu,TRUE
2,680522,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,TRUE
3,571478,Mandya_Gandhinagar_D (Karnataka),Mandya_Gandhinagar_D (Karnataka),Mandya_Gandhinagar_D (Karnataka),Mandya,Karnataka,TRUE
4,500594,Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad_Ravindranagar_L (Telangana),Hyderabad,Telangana,FALSE
5,845438,Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah_Manshatola_D (Bihar),Bettiah,Bihar,TRUE
6,576231,Kundapura_Vaderhobli_D (Karnataka),Kundapura_Vaderhobli_D (Karnataka),Kundapura_Vaderhobli_D (Karnataka),Kundapura,Karnataka,TRUE
7,229126,Haidargarh_Bhatkhera_D (Uttar Pradesh),Haidargarh_Bhatkhera_D (Uttar Pradesh),Haidargarh_Bhatkhera_D (Uttar Pradesh),Haidargarh,Uttar Pradesh,TRUE
8,385505,Deesa_NeminathNagar_D (Gujarat),Deesa_NeminathNagar_D (Gujarat),Deesa_NeminathNagar_D (Gujarat),Deesa,Gujarat,TRUE
9,602117,Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Chennai_Sriperumbudur_GW (Tamil Nadu),Sriperumbudur,Tamil Nadu,FALSE
10,212662,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,TRUE
11,636808,Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode_Dandukaranahalli_D (Tamil Nadu),Palacode,Tamil Nadu,TRUE
12,723163,Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia,West Bengal,TRUE
13,227308,Lucknow_Bhokapur_L (Uttar Pradesh),Lucknow_Bhokapur_GW (Uttar Pradesh),Lucknow_Bhokapur_R (Uttar Pradesh),Lucknow,Uttar Pradesh,TRUE
14,591104,Bailhongal_MahantNagar_D (Karnataka),Bailhongal_MahantNagar_D (Karnataka),Bailhongal_MahantNagar_D (Karnataka),Bailhongal,Karnataka,TRUE
15,383006,Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar_Hadiyol_D (Gujarat),Himmatnagar,Gujarat,TRUE
16,590009,Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum_MarutiNagar_I (Karnataka),Belgaum,Karnataka,FALSE
